Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult
58:21.2,24.35941091,-77.44517288,28.58016578,357.3667085,531.6302782,316.7228951,20.84,36.73,48.72,1015.04,-1,-1
58:22.3,24.34052597,-77.44017052,28.60204435,357.381842,531.6317639,316.7206172,20.84,36.73,48.72,1015.06,-1,-1
58:23.2,24.34130997,-77.43618639,28.60129856,357.3693407,531.6126068,316.707728,20.84,36.73,48.72,1015.06,-1,-1
58:24.2,24.3399818,-77.43869845,28.60231936,357.3760892,531.6217942,316.7137008,20.84,36.73,48.72,1015.07,-1,-1
58:25.2,24.34061625,-77.43853231,28.60187058,357.3759796,531.6221826,316.7137846,20.84,36.73,48.72,1015.11,-1,-1
58:26.2,24.34092021,-77.43980903,28.60167984,357.3795218,531.6275546,316.7165513,20.84,36.73,48.72,1015.04,-1,-1
58:27.2,24.33984163,-77.44336775,28.6026644,357.3914595,531.6461901,316.7300389,20.84,36.73,48.72,1015.07,-1,-1
58:28.2,24.34220531,-77.43590691,28.60066974,357.369131,531.6131206,316.7079037,20.84,36.73,48.72,1015.04,-1,-1
58:29.2,24.33961781,-77.43960218,28.6026355,357.379077,531.6263828,316.7170742,20.84,36.73,48.72,1015.07,-1,-1
58:30.2,24.34212696,-77.43671856,28.5993207,357.3675777,531.611747,316.7040953,22.49,34.78,48.42,1015.07,-1,-1
58:31.2,24.38597224,-77.44487576,28.53229719,357.3700871,531.7258491,316.7587955,20.09,36.43,50.07,1015.08,-1,-1
58:32.2,24.94819425,-77.24716242,28.00752368,356.6364005,531.4431707,316.9074183,20.84,36.43,49.02,1015.07,-1,-1
58:33.2,23.94019609,-77.78247671,28.66873883,357.8928416,532.1235114,316.7751404,20.69,37.33,48.42,1015.09,-1,-1
58:34.2,24.4100824,-77.53378573,28.49561849,357.4611423,531.7672299,316.6938388,20.84,35.98,48.72,1015.06,-1,-1
58:35.2,24.39053952,-77.35712212,28.6985209,357.4715989,531.6131926,316.5754958,19.64,36.58,48.42,1015.07,-1,-1
58:36.2,24.4127955,-77.68555821,28.18979866,357.1715421,531.6456372,316.7148715,20.84,36.43,49.02,1015.06,-1,-1
58:37.2,24.09805422,-78.05324713,27.97750305,357.1539532,531.7033482,316.7325087,20.09,36.43,49.02,1015.06,-1,-1
58:38.2,24.37912325,-77.55067935,28.49810991,357.4568981,531.7546811,316.6890689,20.54,35.98,48.27,1015.03,-1,-1
58:39.2,24.13385012,-77.91719012,28.26747151,357.4721746,531.8427088,316.6645903,18.89,35.83,49.17,1015.03,-1,-1
58:40.2,24.24292043,-78.13058097,28.35072494,358.2508407,532.1979008,315.3994919,20.09,36.43,49.32,1015.03,-1,-1
58:41.1,23.73794442,-83.12329329,27.21544013,363.6497851,533.2906344,306.6907121,3.15,43.47,49.62,1015.02,-1,-1
58:42.2,34.79324114,-73.50097603,22.72618586,354.6755949,535.2907636,318.3632927,-7.35,42.27,29.23,1014.99,-1,-1
