Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult
40:15.9,22.39666662,-83.91125025,31.97343792,374.0561964,546.8312656,318.771097,29.68,1.65,107.63,1008.08,1,1
40:16.9,22.39741225,-83.91114646,31.97290512,374.0561794,546.8317838,318.7710796,29.68,1.65,107.63,1008.07,1,1
40:17.9,22.39701988,-83.91313888,31.97327907,374.0624304,546.8413606,318.777524,29.68,1.65,107.63,1008.08,1,1
40:18.9,22.39779482,-83.91194553,31.97268566,374.0591492,546.8368951,318.7744361,29.68,1.65,107.63,1008.07,1,1
40:19.9,22.39728118,-83.91302502,31.97309772,374.0623297,546.8414882,318.7776163,29.68,1.65,107.63,1008.05,-1,1
40:20.9,22.36399696,-83.93399321,31.98540138,374.0756752,546.8179897,318.7487737,29.68,1.65,107.63,1008.04,1,1
40:21.9,22.28105772,-83.88166072,32.17836663,374.023613,546.1922018,317.7976293,29.68,1.65,107.63,1008.1,1,1
40:22.9,22.42263046,-83.96168407,31.94977081,374.086671,546.8424416,318.7384746,29.68,1.65,107.63,1008.01,1,1
40:23.9,22.40039274,-83.91504952,31.97444205,374.0684224,546.8500229,318.7842886,29.68,1.65,107.63,1008.08,-1,1
40:24.9,22.36569595,-83.92778895,31.9839189,374.0567216,546.7895111,318.7296246,29.68,1.65,107.63,1008.08,1,1
40:25.9,22.27950948,-83.88567854,32.17956362,374.0341066,546.2064992,317.8061835,29.68,1.65,107.63,1008.06,-1,1
40:26.9,22.38894432,-83.98743593,31.96260223,374.1154881,546.8432091,318.7258775,29.68,1.65,107.63,1008.04,-1,1
40:27.9,22.25255947,-83.90480918,32.19079497,374.0434883,546.1786651,317.7749269,29.68,1.65,107.63,1008.09,1,1
40:28.9,22.30646873,-83.93341274,32.1551256,374.0575543,546.2081018,317.7678923,29.68,1.65,107.63,1008.09,1,1
40:29.9,22.42639926,-83.96687393,31.95076554,374.1025399,546.8664434,318.7543406,29.68,1.65,107.63,1008.03,1,1
40:30.9,22.40206275,-83.91357692,31.97322058,374.0649317,546.84607,318.7813764,29.68,1.65,107.63,1008.06,1,1
40:31.9,22.39839316,-83.9076006,31.97210149,374.0461796,546.8173351,318.7620426,29.68,1.65,107.63,1008.09,1,1
40:32.9,22.39673445,-83.91155542,31.97338041,374.0565799,546.8315061,318.7706984,29.68,1.65,107.63,1008.06,1,1
40:33.9,22.39676454,-83.9141075,31.97351882,374.0655138,546.8460666,318.7807946,29.68,1.65,107.63,1008.06,1,1
40:34.9,22.39797103,-83.91068303,31.97253744,374.0556954,546.8318933,318.7715572,29.68,1.65,107.63,1008.07,1,1
40:35.9,22.39729669,-83.91108853,31.97300232,374.0560919,546.8316325,318.7711781,29.68,1.65,107.63,1008.09,1,1
40:36.9,22.39737832,-83.91224063,31.97297961,374.059449,546.8367449,318.7741472,29.68,1.65,107.63,1008.08,1,1
40:37.9,22.39724772,-83.91411873,31.97317083,374.0655988,546.8464515,318.7806842,29.68,1.65,107.63,1008.05,1,1
40:38.9,22.39757798,-83.91267614,31.97291348,374.0619473,546.8414667,318.7780011,29.68,1.65,107.63,1008.11,1,1
